Time	 MagX	 MagY	 MagZ	 AccelX	 AccelY	 AccelZ	 Yaw	 Pitch	 Roll	 Temperature	 Pressure	 Altitude
15271	 -0.105	  0.067	  0.278	 -0.118	 -0.324	 -9.817	 -0.004	  0.001	  0.004	 10.200	 99.136	 -99999.000
15321	 -0.104	  0.069	  0.281	 -0.195	 -0.241	 -9.757	 -0.003	  0.001	  0.004	 10.200	 99.136	 -99999.000
15371	 -0.104	  0.072	  0.278	 -0.271	 -0.292	 -9.764	 -0.003	 -0.002	  0.005	 10.200	 99.147	 -99999.000
15420	 -0.104	  0.066	  0.281	 -0.121	 -0.320	 -9.875	 -0.012	  0.002	  0.004	 10.200	 99.147	 -99999.000
15471	 -0.102	  0.068	  0.275	 -0.080	 -0.277	 -9.789	 -0.001	  0.002	  0.003	 10.200	 99.147	 -99999.000
15521	 -0.105	  0.068	  0.282	 -0.187	 -0.292	 -9.753	 -0.003	  0.002	  0.005	 10.200	 99.125	 -99999.000
15571	 -0.104	  0.071	  0.280	 -0.246	 -0.361	 -9.781	  0.005	 -0.005	  0.004	 10.200	 99.147	 -99999.000
15621	 -0.104	  0.071	  0.278	 -0.177	 -0.249	 -9.665	 -0.012	  0.009	  0.004	 10.200	 99.147	 -99999.000
15671	 -0.103	  0.070	  0.276	 -0.168	 -0.272	 -9.904	 -0.004	 -0.003	  0.004	 10.200	 99.140	 -99999.000
15721	 -0.104	  0.067	  0.278	 -0.106	 -0.203	 -9.664	 -0.002	 -0.001	  0.004	 10.200	 99.136	 -99999.000
15771	 -0.105	  0.064	  0.278	 -0.261	 -0.378	 -9.929	  0.001	  0.001	  0.004	 10.200	 99.142	 -99999.000
15821	 -0.106	  0.064	  0.275	 -0.217	 -0.241	 -9.730	 -0.012	  0.007	  0.004	 10.200	 99.140	 -99999.000
15871	 -0.104	  0.066	  0.278	 -0.171	 -0.284	 -9.753	 -0.003	  0.003	  0.004	 10.200	 99.147	 -99999.000
15921	 -0.105	  0.068	  0.277	 -0.179	 -0.223	 -9.781	  0.002	 -0.008	  0.003	 10.200	 99.147	 -99999.000
15971	 -0.104	  0.067	  0.277	 -0.254	 -0.343	 -9.856	 -0.007	  0.003	  0.004	 10.200	 99.125	 -99999.000
16021	 -0.105	  0.073	  0.279	 -0.189	 -0.279	 -9.836	 -0.005	  0.005	  0.003	 10.200	 99.136	 -99999.000
16071	 -0.106	  0.069	  0.280	 -0.081	 -0.213	 -9.720	 -0.006	  0.001	  0.005	 10.200	 99.140	 -99999.000
16121	 -0.104	  0.069	  0.278	 -0.215	 -0.304	 -9.736	  0.000	  0.000	  0.004	 10.200	 99.136	 -99999.000
16171	 -0.103	  0.065	  0.279	 -0.213	 -0.442	 -9.660	 -0.010	 -0.003	  0.004	 10.200	 99.136	 -99999.000
16222	 -0.104	  0.068	  0.277	 -0.084	 -0.182	 -9.763	 -0.001	  0.003	  0.005	 10.200	 99.136	 -99999.000
16271	 -0.103	  0.067	  0.278	 -0.145	 -0.360	 -9.810	 -0.004	  0.003	  0.005	 10.200	 99.136	 -99999.000
16320	 -0.102	  0.067	  0.280	 -0.255	 -0.294	 -9.857	  0.001	 -0.001	  0.004	 10.200	 99.136	 -99999.000
16371	 -0.103	  0.069	  0.281	 -0.182	 -0.178	 -9.717	 -0.004	  0.008	  0.005	 10.200	 99.136	 -99999.000
16420	 -0.102	  0.073	  0.276	 -0.205	 -0.285	 -9.842	  0.001	 -0.001	  0.003	 10.200	 99.136	 -99999.000
16471	 -0.104	  0.067	  0.276	 -0.142	 -0.308	 -9.724	  0.000	 -0.001	  0.004	 10.200	 99.136	 -99999.000
16520	 -0.104	  0.069	  0.277	 -0.287	 -0.305	 -9.832	 -0.010	  0.003	  0.006	 10.200	 99.136	 -99999.000
16571	 -0.104	  0.066	  0.281	 -0.178	 -0.263	 -9.726	 -0.006	  0.002	  0.004	 10.200	 99.136	 -99999.000
16621	 -0.104	  0.067	  0.275	 -0.096	 -0.268	 -9.782	 -0.001	 -0.003	  0.005	 10.200	 99.147	 -99999.000
16671	 -0.103	  0.068	  0.278	 -0.184	 -0.300	 -9.758	 -0.002	  0.002	  0.004	 10.200	 99.136	 -99999.000
16721	 -0.104	  0.067	  0.277	 -0.250	 -0.386	 -9.795	 -0.005	  0.005	  0.004	 10.200	 99.136	 -99999.000
16771	 -0.105	  0.065	  0.273	 -0.106	 -0.186	 -9.681	  0.003	  0.002	  0.004	 10.200	 99.151	 -99999.000
16821	 -0.105	  0.068	  0.284	 -0.195	 -0.304	 -9.818	 -0.007	  0.001	  0.005	 10.200	 99.136	 -99999.000
16872	 -0.105	  0.070	  0.278	 -0.234	 -0.312	 -9.758	  0.000	 -0.002	  0.004	 10.200	 99.136	 -99999.000
16921	 -0.105	  0.069	  0.280	 -0.139	 -0.290	 -9.806	 -0.006	  0.002	  0.003	 10.200	 99.147	 -99999.000
16972	 -0.103	  0.067	  0.278	 -0.130	 -0.262	 -9.772	 -0.006	  0.005	  0.004	 10.200	 99.136	 -99999.000
17022	 -0.102	  0.068	  0.280	 -0.192	 -0.313	 -9.783	  0.000	 -0.001	  0.003	 10.200	 99.147	 -99999.000
17072	 -0.102	  0.065	  0.279	 -0.220	 -0.282	 -9.712	 -0.006	 -0.001	  0.003	 10.200	 99.147	 -99999.000
17122	 -0.105	  0.065	  0.277	 -0.201	 -0.277	 -9.782	 -0.004	  0.002	  0.003	 10.200	 99.136	 -99999.000
17172	 -0.103	  0.069	  0.275	 -0.201	 -0.347	 -9.775	 -0.008	 -0.003	  0.003	 10.200	 99.147	 -99999.000
17222	 -0.104	  0.067	  0.280	 -0.120	 -0.264	 -9.777	  0.000	 -0.001	  0.003	 10.200	 99.147	 -99999.000
17272	 -0.105	  0.069	  0.280	 -0.263	 -0.311	 -9.860	 -0.009	  0.006	  0.004	 10.200	 99.136	 -99999.000
17322	 -0.104	  0.067	  0.278	 -0.157	 -0.271	 -9.744	  0.001	 -0.000	  0.005	 10.200	 99.142	 -99999.000
17372	 -0.103	  0.067	  0.282	 -0.195	 -0.256	 -9.776	 -0.005	  0.001	  0.004	 10.200	 99.147	 -99999.000
17422	 -0.105	  0.068	  0.278	 -0.134	 -0.318	 -9.768	 -0.001	 -0.002	  0.004	 10.200	 99.136	 -99999.000
17472	 -0.105	  0.065	  0.277	 -0.151	 -0.381	 -9.748	 -0.005	  0.003	  0.003	 10.200	 99.136	 -99999.000
17522	 -0.105	  0.068	  0.277	 -0.112	 -0.309	 -9.763	 -0.001	  0.003	  0.004	 10.200	 99.136	 -99999.000
17572	 -0.103	  0.067	  0.281	 -0.191	 -0.266	 -9.748	 -0.004	  0.002	  0.005	 10.200	 99.136	 -99999.000
17622	 -0.105	  0.069	  0.276	 -0.151	 -0.295	 -9.797	  0.003	  0.003	  0.005	 10.200	 99.136	 -99999.000
17672	 -0.103	  0.067	  0.278	 -0.248	 -0.308	 -9.833	 -0.003	  0.002	  0.004	 10.200	 99.147	 -99999.000
17722	 -0.104	  0.065	  0.275	 -0.150	 -0.272	 -9.748	 -0.000	  0.005	  0.004	 10.200	 99.147	 -99999.000
17772	 -0.103	  0.065	  0.279	 -0.193	 -0.267	 -9.678	 -0.007	 -0.002	  0.004	 10.200	 99.136	 -99999.000
17822	 -0.104	  0.067	  0.278	 -0.135	 -0.358	 -9.697	 -0.003	 -0.001	  0.004	 10.200	 99.136	 -99999.000
17872	 -0.104	  0.067	  0.281	 -0.172	 -0.318	 -9.741	 -0.005	 -0.002	  0.004	 10.200	 99.136	 -99999.000
17922	 -0.104	  0.068	  0.273	 -0.178	 -0.306	 -9.704	 -0.001	  0.005	  0.004	 10.200	 99.136	 -99999.000
17972	 -0.104	  0.069	  0.280	 -0.143	 -0.244	 -9.770	 -0.002	  0.002	  0.004	 10.200	 99.147	 -99999.000
18022	 -0.103	  0.067	  0.282	 -0.171	 -0.320	 -9.769	  0.001	  0.001	  0.004	 10.200	 99.125	 -99999.000
18072	 -0.105	  0.066	  0.281	 -0.213	 -0.245	 -9.794	 -0.009	  0.003	  0.005	 10.200	 99.136	 -99999.000
18122	 -0.102	  0.065	  0.283	 -0.100	 -0.312	 -9.735	  0.001	 -0.000	  0.004	 10.200	 99.136	 -99999.000
18172	 -0.106	  0.067	  0.280	 -0.216	 -0.208	 -9.743	 -0.007	  0.004	  0.004	 10.200	 99.136	 -99999.000
18222	 -0.106	  0.068	  0.279	 -0.255	 -0.353	 -9.748	 -0.004	 -0.002	  0.003	 10.200	 99.136	 -99999.000
