Time	 MagX	 MagY	 MagZ	 AccelX	 AccelY	 AccelZ	 Yaw	 Pitch	 Roll	 Temperature	 Pressure	 Altitude
15299	 -0.463	  0.457	  0.249	  9.672	 -0.639	 -1.193	 -0.003	  0.003	  0.001	 33.300	 99.116	 -99999.000
15349	 -0.464	  0.453	  0.255	  9.658	 -0.648	 -1.228	 -0.004	  0.001	  0.001	 33.300	 99.116	 -99999.000
15399	 -0.466	  0.457	  0.248	  9.657	 -0.650	 -1.229	 -0.004	  0.003	  0.001	 33.300	 99.128	 -99999.000
15449	 -0.463	  0.457	  0.254	  9.667	 -0.661	 -1.220	 -0.004	  0.000	  0.000	 33.300	 99.128	 -99999.000
15499	 -0.465	  0.456	  0.250	  9.657	 -0.655	 -1.240	 -0.004	  0.004	  0.001	 33.300	 99.128	 -99999.000
15549	 -0.465	  0.457	  0.249	  9.676	 -0.655	 -1.208	 -0.003	  0.003	  0.000	 33.300	 99.128	 -99999.000
15599	 -0.464	  0.455	  0.250	  9.711	 -0.662	 -1.231	 -0.004	  0.002	  0.001	 33.300	 99.132	 -99999.000
15649	 -0.462	  0.461	  0.250	  9.697	 -0.647	 -1.216	 -0.004	  0.002	  0.001	 33.300	 99.128	 -99999.000
15699	 -0.464	  0.458	  0.252	  9.672	 -0.690	 -1.208	 -0.003	  0.002	 -0.000	 33.300	 99.139	 -99999.000
15749	 -0.463	  0.457	  0.251	  9.691	 -0.654	 -1.202	 -0.003	  0.003	 -0.000	 33.300	 99.128	 -99999.000
15799	 -0.465	  0.458	  0.250	  9.652	 -0.652	 -1.222	 -0.003	  0.002	 -0.000	 33.300	 99.128	 -99999.000
15849	 -0.464	  0.461	  0.247	  9.671	 -0.648	 -1.192	 -0.004	  0.002	  0.001	 33.300	 99.128	 -99999.000
15899	 -0.464	  0.459	  0.249	  9.670	 -0.648	 -1.240	 -0.004	  0.002	 -0.001	 33.300	 99.128	 -99999.000
15949	 -0.464	  0.456	  0.248	  9.675	 -0.630	 -1.204	 -0.003	  0.003	  0.000	 33.300	 99.132	 -99999.000
15999	 -0.463	  0.459	  0.252	  9.695	 -0.646	 -1.267	 -0.003	  0.003	  0.001	 33.300	 99.128	 -99999.000
16049	 -0.463	  0.458	  0.250	  9.672	 -0.665	 -1.236	 -0.004	  0.002	  0.000	 33.300	 99.116	 -99999.000
16099	 -0.465	  0.456	  0.254	  9.649	 -0.639	 -1.223	 -0.004	  0.004	  0.000	 33.300	 99.132	 -99999.000
16149	 -0.462	  0.456	  0.252	  9.684	 -0.667	 -1.244	 -0.004	  0.002	  0.000	 33.300	 99.132	 -99999.000
16199	 -0.464	  0.456	  0.250	  9.685	 -0.681	 -1.249	 -0.003	  0.002	  0.001	 33.300	 99.116	 -99999.000
16249	 -0.466	  0.455	  0.250	  9.650	 -0.655	 -1.238	 -0.004	  0.003	  0.001	 33.300	 99.128	 -99999.000
16298	 -0.462	  0.458	  0.251	  9.671	 -0.675	 -1.238	 -0.003	  0.002	  0.000	 33.300	 99.128	 -99999.000
16348	 -0.463	  0.464	  0.249	  9.691	 -0.647	 -1.256	 -0.004	  0.003	  0.001	 33.300	 99.128	 -99999.000
16398	 -0.464	  0.465	  0.250	  9.681	 -0.649	 -1.248	 -0.004	  0.003	  0.001	 33.300	 99.128	 -99999.000
16448	 -0.463	  0.456	  0.253	  9.677	 -0.670	 -1.251	 -0.003	  0.003	  0.000	 33.300	 99.128	 -99999.000
16498	 -0.466	  0.462	  0.252	  9.657	 -0.654	 -1.228	 -0.003	  0.003	  0.000	 33.300	 99.128	 -99999.000
16548	 -0.465	  0.457	  0.248	  9.683	 -0.668	 -1.222	 -0.002	  0.003	  0.001	 33.300	 99.132	 -99999.000
16598	 -0.462	  0.459	  0.255	  9.664	 -0.645	 -1.228	 -0.003	  0.002	  0.001	 33.300	 99.128	 -99999.000
16649	 -0.464	  0.459	  0.251	  9.672	 -0.623	 -1.230	 -0.003	  0.002	  0.001	 33.300	 99.139	 -99999.000
16698	 -0.464	  0.468	  0.252	  9.697	 -0.666	 -1.235	 -0.003	  0.002	  0.001	 33.300	 99.128	 -99999.000
16748	 -0.465	  0.461	  0.249	  9.669	 -0.650	 -1.221	 -0.003	  0.002	  0.001	 33.300	 99.116	 -99999.000
16798	 -0.463	  0.463	  0.251	  9.688	 -0.660	 -1.242	 -0.002	  0.003	 -0.000	 33.300	 99.139	 -99999.000
16848	 -0.465	  0.457	  0.244	  9.678	 -0.642	 -1.231	 -0.003	  0.002	  0.001	 33.300	 99.128	 -99999.000
16898	 -0.462	  0.459	  0.255	  9.691	 -0.643	 -1.217	 -0.003	  0.002	  0.001	 33.300	 99.128	 -99999.000
16948	 -0.466	  0.458	  0.249	  9.666	 -0.621	 -1.250	 -0.003	  0.002	  0.000	 33.300	 99.132	 -99999.000
16999	 -0.462	  0.458	  0.251	  9.671	 -0.640	 -1.197	 -0.003	  0.002	 -0.000	 33.300	 99.128	 -99999.000
17048	 -0.466	  0.456	  0.254	  9.689	 -0.651	 -1.222	 -0.004	  0.001	  0.001	 33.300	 99.128	 -99999.000
17099	 -0.464	  0.460	  0.250	  9.694	 -0.659	 -1.225	 -0.003	  0.004	  0.001	 33.300	 99.132	 -99999.000
17148	 -0.464	  0.458	  0.249	  9.698	 -0.653	 -1.223	 -0.002	  0.003	  0.001	 33.300	 99.128	 -99999.000
17198	 -0.465	  0.457	  0.254	  9.654	 -0.664	 -1.231	 -0.003	  0.003	  0.000	 33.300	 99.132	 -99999.000
17248	 -0.464	  0.458	  0.251	  9.666	 -0.668	 -1.236	 -0.003	  0.002	  0.000	 33.300	 99.132	 -99999.000
17298	 -0.463	  0.459	  0.252	  9.681	 -0.644	 -1.200	 -0.004	  0.003	 -0.000	 33.300	 99.128	 -99999.000
17349	 -0.463	  0.458	  0.248	  9.670	 -0.642	 -1.196	 -0.003	  0.003	 -0.001	 33.300	 99.128	 -99999.000
17399	 -0.463	  0.459	  0.252	  9.682	 -0.666	 -1.196	 -0.002	  0.002	 -0.001	 33.300	 99.128	 -99999.000
17449	 -0.465	  0.456	  0.250	  9.688	 -0.667	 -1.222	 -0.003	  0.003	  0.001	 33.300	 99.128	 -99999.000
17499	 -0.464	  0.458	  0.252	  9.695	 -0.657	 -1.231	 -0.003	  0.001	 -0.001	 33.300	 99.128	 -99999.000
17549	 -0.463	  0.459	  0.249	  9.690	 -0.669	 -1.214	 -0.005	  0.001	  0.001	 33.300	 99.128	 -99999.000
17599	 -0.463	  0.458	  0.251	  9.677	 -0.649	 -1.250	 -0.003	  0.002	  0.000	 33.300	 99.132	 -99999.000
17649	 -0.464	  0.457	  0.250	  9.673	 -0.662	 -1.243	 -0.004	  0.004	  0.002	 33.300	 99.128	 -99999.000
17699	 -0.464	  0.456	  0.250	  9.705	 -0.688	 -1.246	 -0.003	  0.001	  0.000	 33.300	 99.116	 -99999.000
17749	 -0.466	  0.455	  0.248	  9.695	 -0.658	 -1.258	 -0.004	  0.003	  0.001	 33.300	 99.128	 -99999.000
17799	 -0.465	  0.465	  0.249	  9.680	 -0.657	 -1.234	 -0.003	  0.004	  0.000	 33.300	 99.116	 -99999.000
17849	 -0.464	  0.455	  0.248	  9.697	 -0.652	 -1.223	 -0.003	  0.004	 -0.000	 33.300	 99.121	 -99999.000
17899	 -0.464	  0.459	  0.246	  9.685	 -0.645	 -1.215	 -0.004	  0.002	 -0.000	 33.300	 99.132	 -99999.000
17949	 -0.464	  0.458	  0.252	  9.694	 -0.653	 -1.218	 -0.003	  0.002	  0.001	 33.300	 99.132	 -99999.000
17999	 -0.465	  0.464	  0.250	  9.675	 -0.686	 -1.235	 -0.003	  0.002	  0.000	 33.300	 99.139	 -99999.000
18049	 -0.465	  0.458	  0.248	  9.694	 -0.656	 -1.233	 -0.003	  0.002	 -0.001	 33.300	 99.128	 -99999.000
18099	 -0.464	  0.456	  0.251	  9.680	 -0.655	 -1.213	 -0.002	  0.003	  0.000	 33.300	 99.116	 -99999.000
18149	 -0.463	  0.459	  0.254	  9.666	 -0.667	 -1.251	 -0.004	  0.002	  0.001	 33.300	 99.116	 -99999.000
18199	 -0.464	  0.459	  0.250	  9.686	 -0.656	 -1.227	 -0.005	  0.002	  0.001	 33.300	 99.128	 -99999.000
18249	 -0.463	  0.461	  0.251	  9.692	 -0.649	 -1.212	 -0.004	  0.002	  0.001	 33.300	 99.132	 -99999.000
18299	 -0.465	  0.457	  0.251	  9.687	 -0.640	 -1.201	 -0.005	  0.003	 -0.000	 33.300	 99.139	 -99999.000
18349	 -0.467	  0.459	  0.241	  9.672	 -0.676	 -1.249	 -0.003	  0.003	  0.000	 33.300	 99.121	 -99999.000
18399	 -0.465	  0.457	  0.250	  9.663	 -0.655	 -1.226	 -0.004	  0.003	  0.001	 33.300	 99.128	 -99999.000
18449	 -0.464	  0.461	  0.249	  9.672	 -0.652	 -1.212	 -0.004	  0.002	  0.000	 33.300	 99.128	 -99999.000
18499	 -0.465	  0.455	  0.248	  9.687	 -0.642	 -1.226	 -0.004	  0.001	 -0.000	 33.300	 99.128	 -99999.000
18549	 -0.465	  0.458	  0.247	  9.667	 -0.652	 -1.218	 -0.003	  0.002	  0.001	 33.300	 99.128	 -99999.000
18599	 -0.463	  0.462	  0.251	  9.694	 -0.668	 -1.231	 -0.004	  0.003	 -0.000	 33.300	 99.128	 -99999.000
18649	 -0.466	  0.457	  0.249	  9.671	 -0.661	 -1.228	 -0.004	  0.003	  0.001	 33.300	 99.128	 -99999.000
18699	 -0.465	  0.459	  0.250	  9.668	 -0.674	 -1.226	 -0.003	  0.002	  0.001	 33.300	 99.121	 -99999.000
18749	 -0.466	  0.456	  0.252	  9.685	 -0.623	 -1.267	 -0.004	  0.002	 -0.000	 33.300	 99.132	 -99999.000
18799	 -0.465	  0.460	  0.248	  9.681	 -0.669	 -1.260	 -0.004	  0.003	  0.000	 33.300	 99.128	 -99999.000
18849	 -0.464	  0.458	  0.248	  9.680	 -0.671	 -1.263	 -0.003	  0.002	 -0.000	 33.300	 99.121	 -99999.000
18899	 -0.464	  0.463	  0.252	  9.678	 -0.656	 -1.206	 -0.004	  0.002	 -0.001	 33.300	 99.128	 -99999.000
18949	 -0.465	  0.454	  0.248	  9.676	 -0.683	 -1.248	 -0.003	  0.003	 -0.000	 33.300	 99.132	 -99999.000
18999	 -0.465	  0.461	  0.249	  9.685	 -0.648	 -1.249	 -0.003	  0.003	  0.001	 33.300	 99.128	 -99999.000
19049	 -0.465	  0.461	  0.251	  9.694	 -0.689	 -1.229	 -0.003	  0.003	  0.001	 33.300	 99.132	 -99999.000
19099	 -0.462	  0.458	  0.249	  9.664	 -0.663	 -1.223	 -0.003	  0.003	 -0.001	 33.300	 99.116	 -99999.000
19149	 -0.463	  0.457	  0.254	  9.695	 -0.657	 -1.216	 -0.003	  0.003	 -0.001	 33.300	 99.143	 -99999.000
