Time	 MagX	 MagY	 MagZ	 AccelX	 AccelY	 AccelZ	 Yaw	 Pitch	 Roll	 Temperature	 Pressure	 Altitude
18211	  0.691	 -0.166	  0.396	  0.198	  0.085	 -9.748	 -0.003	  0.003	  0.001	 32.100	 99.080	 -99999.000
18258	  0.692	 -0.165	  0.400	  0.218	  0.084	 -9.752	 -0.005	  0.002	  0.000	 32.100	 99.080	 -99999.000
18308	  0.690	 -0.163	  0.394	  0.199	  0.075	 -9.754	 -0.003	  0.002	  0.001	 32.100	 99.080	 -99999.000
18358	  0.692	 -0.166	  0.397	  0.206	  0.092	 -9.751	 -0.003	  0.002	  0.001	 32.100	 99.080	 -99999.000
18408	  0.688	 -0.162	  0.399	  0.199	  0.058	 -9.765	 -0.003	  0.001	  0.001	 32.100	 99.080	 -99999.000
18459	  0.691	 -0.168	  0.395	  0.201	  0.085	 -9.758	 -0.004	  0.003	  0.000	 32.100	 99.080	 -99999.000
18508	  0.689	 -0.160	  0.395	  0.203	  0.089	 -9.732	 -0.004	  0.003	  0.001	 32.100	 99.091	 -99999.000
18559	  0.690	 -0.160	  0.398	  0.214	  0.068	 -9.701	 -0.003	  0.002	  0.002	 32.100	 99.080	 -99999.000
18608	  0.690	 -0.166	  0.395	  0.207	  0.084	 -9.788	 -0.003	  0.003	  0.000	 32.100	 99.091	 -99999.000
18659	  0.692	 -0.165	  0.395	  0.207	  0.083	 -9.757	 -0.003	  0.002	 -0.000	 32.100	 99.084	 -99999.000
18709	  0.690	 -0.164	  0.398	  0.204	  0.088	 -9.794	 -0.003	  0.002	 -0.001	 32.100	 99.080	 -99999.000
18759	  0.690	 -0.168	  0.392	  0.193	  0.093	 -9.757	 -0.003	  0.003	 -0.000	 32.100	 99.080	 -99999.000
18809	  0.690	 -0.165	  0.393	  0.196	  0.088	 -9.789	 -0.004	  0.001	 -0.001	 32.100	 99.080	 -99999.000
18859	  0.689	 -0.165	  0.400	  0.219	  0.080	 -9.736	 -0.003	  0.003	  0.001	 32.100	 99.091	 -99999.000
18909	  0.691	 -0.160	  0.398	  0.207	  0.075	 -9.760	 -0.003	  0.003	 -0.000	 32.100	 99.080	 -99999.000
18959	  0.688	 -0.163	  0.395	  0.196	  0.079	 -9.730	 -0.003	  0.002	  0.001	 32.100	 99.080	 -99999.000
19009	  0.688	 -0.156	  0.396	  0.199	  0.075	 -9.740	 -0.002	  0.001	  0.001	 32.100	 99.080	 -99999.000
19059	  0.690	 -0.166	  0.394	  0.223	  0.091	 -9.760	 -0.004	  0.002	  0.000	 32.100	 99.084	 -99999.000
19109	  0.689	 -0.164	  0.398	  0.182	  0.094	 -9.761	 -0.003	  0.001	 -0.000	 32.100	 99.103	 -99999.000
19159	  0.689	 -0.165	  0.396	  0.177	  0.077	 -9.794	 -0.002	  0.002	 -0.000	 32.100	 99.095	 -99999.000
