Time	 MagX	 MagY	 MagZ	 AccelX	 AccelY	 AccelZ	 Yaw	 Pitch	 Roll	 Temperature	 Pressure	 Altitude
18340	  0.693	 -0.165	  0.398	  0.215	  0.076	 -9.733	 -0.003	  0.003	 -0.000	 32.200	 99.097	 -99999.000
18390	  0.692	 -0.167	  0.397	  0.190	  0.079	 -9.732	 -0.003	  0.002	  0.001	 32.200	 99.081	 -99999.000
18440	  0.692	 -0.167	  0.397	  0.186	  0.084	 -9.744	 -0.003	  0.002	 -0.001	 32.200	 99.070	 -99999.000
18490	  0.693	 -0.163	  0.400	  0.195	  0.094	 -9.773	 -0.004	  0.004	 -0.001	 32.200	 99.085	 -99999.000
18540	  0.691	 -0.166	  0.398	  0.210	  0.065	 -9.792	 -0.003	  0.003	  0.000	 32.200	 99.081	 -99999.000
18590	  0.692	 -0.163	  0.398	  0.209	  0.081	 -9.782	 -0.002	  0.003	  0.000	 32.200	 99.085	 -99999.000
18640	  0.693	 -0.167	  0.399	  0.210	  0.088	 -9.771	 -0.003	  0.001	  0.000	 32.200	 99.081	 -99999.000
18690	  0.692	 -0.162	  0.397	  0.214	  0.085	 -9.757	 -0.004	  0.002	  0.001	 32.200	 99.097	 -99999.000
18740	  0.693	 -0.162	  0.398	  0.218	  0.082	 -9.773	 -0.004	  0.002	  0.000	 32.200	 99.081	 -99999.000
18790	  0.693	 -0.161	  0.399	  0.205	  0.055	 -9.795	 -0.003	  0.002	  0.000	 32.200	 99.097	 -99999.000
18840	  0.694	 -0.165	  0.400	  0.195	  0.072	 -9.762	 -0.004	  0.002	 -0.000	 32.200	 99.092	 -99999.000
18890	  0.692	 -0.161	  0.396	  0.196	  0.091	 -9.745	 -0.003	  0.003	  0.000	 32.200	 99.081	 -99999.000
18940	  0.694	 -0.163	  0.399	  0.196	  0.082	 -9.742	 -0.004	  0.003	  0.001	 32.200	 99.081	 -99999.000
18990	  0.693	 -0.166	  0.396	  0.197	  0.066	 -9.784	 -0.005	  0.002	  0.000	 32.200	 99.085	 -99999.000
19040	  0.692	 -0.169	  0.398	  0.209	  0.073	 -9.762	 -0.003	  0.003	  0.000	 32.200	 99.081	 -99999.000
19090	  0.692	 -0.164	  0.396	  0.198	  0.094	 -9.759	 -0.003	  0.002	  0.001	 32.200	 99.081	 -99999.000
19140	  0.692	 -0.164	  0.397	  0.191	  0.064	 -9.731	 -0.003	  0.003	 -0.000	 32.200	 99.070	 -99999.000
19190	  0.694	 -0.164	  0.397	  0.186	  0.089	 -9.765	 -0.003	  0.003	  0.000	 32.200	 99.081	 -99999.000
19240	  0.690	 -0.164	  0.394	  0.191	  0.066	 -9.752	 -0.003	  0.003	  0.001	 32.200	 99.092	 -99999.000
19290	  0.695	 -0.165	  0.400	  0.206	  0.105	 -9.763	 -0.003	  0.002	 -0.000	 32.200	 99.092	 -99999.000
19340	  0.692	 -0.164	  0.394	  0.191	  0.075	 -9.748	 -0.003	  0.002	  0.000	 32.200	 99.081	 -99999.000
