Time	 MagX	 MagY	 MagZ	 AccelX	 AccelY	 AccelZ	 Yaw	 Pitch	 Roll	 Temperature	 Pressure	 Altitude
15272	 -0.157	 -0.221	  0.434	  0.115	  0.106	 -9.779	 -0.003	  0.002	  0.001	 29.400	 99.135	 -99999.000
15323	 -0.161	 -0.224	  0.439	  0.104	  0.092	 -9.799	 -0.003	  0.001	  0.001	 29.400	 99.146	 -99999.000
15373	 -0.160	 -0.223	  0.441	  0.084	  0.098	 -9.756	 -0.003	  0.002	  0.002	 29.400	 99.124	 -99999.000
15423	 -0.160	 -0.222	  0.439	  0.131	  0.084	 -9.794	 -0.003	  0.002	  0.001	 29.400	 99.131	 -99999.000
15473	 -0.160	 -0.218	  0.441	  0.114	  0.079	 -9.755	 -0.004	  0.003	  0.001	 29.400	 99.139	 -99999.000
15523	 -0.159	 -0.219	  0.442	  0.099	  0.085	 -9.776	 -0.004	  0.002	  0.002	 29.400	 99.124	 -99999.000
15573	 -0.159	 -0.217	  0.439	  0.111	  0.082	 -9.762	 -0.003	  0.002	  0.000	 29.400	 99.124	 -99999.000
15623	 -0.158	 -0.215	  0.439	  0.094	  0.087	 -9.770	 -0.003	  0.003	  0.002	 29.400	 99.139	 -99999.000
15673	 -0.160	 -0.224	  0.436	  0.104	  0.127	 -9.757	 -0.002	  0.001	  0.001	 29.400	 99.124	 -99999.000
15723	 -0.157	 -0.214	  0.442	  0.090	  0.090	 -9.769	 -0.003	  0.003	  0.000	 29.400	 99.135	 -99999.000
15773	 -0.161	 -0.219	  0.442	  0.115	  0.101	 -9.787	 -0.003	  0.002	  0.000	 29.400	 99.128	 -99999.000
15823	 -0.159	 -0.224	  0.439	  0.127	  0.079	 -9.793	 -0.002	  0.001	  0.002	 29.400	 99.135	 -99999.000
15873	 -0.157	 -0.220	  0.438	  0.115	  0.096	 -9.751	 -0.003	  0.003	  0.002	 29.400	 99.135	 -99999.000
15923	 -0.161	 -0.220	  0.437	  0.089	  0.098	 -9.811	 -0.004	  0.003	  0.001	 29.400	 99.124	 -99999.000
15973	 -0.160	 -0.219	  0.434	  0.138	  0.120	 -9.812	 -0.002	  0.002	  0.001	 29.400	 99.124	 -99999.000
16023	 -0.157	 -0.218	  0.443	  0.113	  0.076	 -9.779	 -0.004	  0.002	  0.001	 29.400	 99.135	 -99999.000
16073	 -0.157	 -0.223	  0.440	  0.099	  0.104	 -9.765	 -0.003	  0.002	  0.000	 29.400	 99.135	 -99999.000
16123	 -0.160	 -0.220	  0.437	  0.102	  0.113	 -9.801	 -0.003	  0.000	  0.002	 29.400	 99.128	 -99999.000
16173	 -0.160	 -0.224	  0.441	  0.110	  0.078	 -9.803	 -0.003	  0.003	  0.000	 29.400	 99.124	 -99999.000
16223	 -0.159	 -0.219	  0.439	  0.098	  0.080	 -9.749	 -0.002	  0.001	  0.002	 29.400	 99.124	 -99999.000
16273	 -0.159	 -0.221	  0.440	  0.107	  0.072	 -9.776	 -0.004	  0.003	  0.001	 29.400	 99.139	 -99999.000
16323	 -0.160	 -0.220	  0.439	  0.121	  0.078	 -9.786	 -0.004	  0.002	  0.001	 29.400	 99.128	 -99999.000
16373	 -0.159	 -0.218	  0.436	  0.093	  0.081	 -9.772	 -0.003	  0.002	  0.001	 29.400	 99.139	 -99999.000
16423	 -0.157	 -0.218	  0.440	  0.124	  0.086	 -9.804	 -0.004	  0.002	  0.001	 29.400	 99.135	 -99999.000
16473	 -0.161	 -0.224	  0.438	  0.120	  0.077	 -9.769	 -0.003	  0.002	  0.002	 29.400	 99.124	 -99999.000
16523	 -0.157	 -0.218	  0.435	  0.099	  0.087	 -9.770	 -0.003	  0.002	  0.001	 29.400	 99.128	 -99999.000
16573	 -0.159	 -0.218	  0.441	  0.101	  0.107	 -9.784	 -0.004	  0.001	  0.001	 29.400	 99.128	 -99999.000
16623	 -0.162	 -0.221	  0.440	  0.112	  0.079	 -9.790	 -0.003	  0.002	  0.001	 29.400	 99.135	 -99999.000
16673	 -0.161	 -0.220	  0.437	  0.122	  0.116	 -9.786	 -0.004	  0.003	  0.002	 29.400	 99.124	 -99999.000
16723	 -0.159	 -0.224	  0.440	  0.094	  0.078	 -9.783	 -0.003	  0.001	  0.001	 29.400	 99.128	 -99999.000
16773	 -0.160	 -0.223	  0.441	  0.117	  0.092	 -9.723	 -0.003	  0.002	  0.001	 29.400	 99.128	 -99999.000
16823	 -0.160	 -0.222	  0.442	  0.106	  0.088	 -9.741	 -0.003	  0.003	  0.001	 29.400	 99.128	 -99999.000
16873	 -0.160	 -0.220	  0.436	  0.110	  0.091	 -9.773	 -0.003	  0.003	  0.001	 29.400	 99.135	 -99999.000
16923	 -0.159	 -0.223	  0.443	  0.122	  0.100	 -9.756	 -0.003	  0.002	 -0.000	 29.400	 99.124	 -99999.000
16973	 -0.160	 -0.223	  0.436	  0.114	  0.105	 -9.750	 -0.003	  0.002	  0.000	 29.400	 99.128	 -99999.000
17023	 -0.160	 -0.221	  0.439	  0.123	  0.080	 -9.766	 -0.004	  0.002	  0.001	 29.400	 99.124	 -99999.000
17073	 -0.160	 -0.221	  0.439	  0.104	  0.074	 -9.763	 -0.004	  0.002	  0.001	 29.400	 99.139	 -99999.000
17123	 -0.160	 -0.221	  0.440	  0.117	  0.092	 -9.781	 -0.003	  0.002	  0.001	 29.400	 99.128	 -99999.000
17173	 -0.160	 -0.222	  0.434	  0.103	  0.077	 -9.767	 -0.004	  0.002	  0.001	 29.400	 99.128	 -99999.000
17223	 -0.160	 -0.221	  0.442	  0.119	  0.096	 -9.779	 -0.003	  0.002	  0.001	 29.400	 99.139	 -99999.000
17273	 -0.160	 -0.224	  0.438	  0.125	  0.106	 -9.783	 -0.003	  0.003	  0.002	 29.400	 99.128	 -99999.000
17323	 -0.161	 -0.225	  0.441	  0.112	  0.075	 -9.762	 -0.003	  0.002	  0.001	 29.400	 99.128	 -99999.000
17373	 -0.159	 -0.221	  0.442	  0.108	  0.105	 -9.755	 -0.004	  0.001	  0.002	 29.400	 99.128	 -99999.000
