Time	 MagX	 MagY	 MagZ	 AccelX	 AccelY	 AccelZ	 Yaw	 Pitch	 Roll	 Temperature	 Pressure	 Altitude
15288	 -0.443	  0.433	  0.270	  9.664	 -0.709	 -1.236	 -0.004	  0.003	  0.001	 33.200	 99.122	 -99999.000
15338	 -0.443	  0.430	  0.266	  9.647	 -0.733	 -1.297	 -0.004	  0.003	  0.002	 33.200	 99.122	 -99999.000
15388	 -0.442	  0.424	  0.263	  9.691	 -0.705	 -1.261	 -0.005	  0.003	  0.000	 33.200	 99.122	 -99999.000
15438	 -0.442	  0.425	  0.269	  9.684	 -0.748	 -1.273	 -0.003	  0.003	  0.000	 33.200	 99.111	 -99999.000
15488	 -0.443	  0.433	  0.269	  9.669	 -0.746	 -1.245	 -0.002	  0.002	  0.001	 33.200	 99.122	 -99999.000
15538	 -0.444	  0.423	  0.270	  9.704	 -0.747	 -1.245	 -0.004	  0.003	 -0.001	 33.200	 99.118	 -99999.000
15588	 -0.442	  0.425	  0.266	  9.696	 -0.734	 -1.288	 -0.003	  0.003	  0.001	 33.200	 99.122	 -99999.000
15638	 -0.443	  0.425	  0.270	  9.667	 -0.758	 -1.227	 -0.005	  0.002	  0.001	 33.200	 99.122	 -99999.000
15688	 -0.444	  0.425	  0.265	  9.672	 -0.768	 -1.281	 -0.004	  0.002	  0.001	 33.200	 99.122	 -99999.000
15738	 -0.441	  0.426	  0.271	  9.677	 -0.730	 -1.298	 -0.003	  0.002	 -0.000	 33.200	 99.118	 -99999.000
15788	 -0.442	  0.427	  0.269	  9.681	 -0.735	 -1.256	 -0.004	  0.003	  0.001	 33.200	 99.118	 -99999.000
15838	 -0.442	  0.428	  0.264	  9.671	 -0.753	 -1.252	 -0.003	  0.003	  0.001	 33.200	 99.118	 -99999.000
15888	 -0.443	  0.430	  0.271	  9.680	 -0.750	 -1.292	 -0.004	  0.002	 -0.000	 33.200	 99.122	 -99999.000
15938	 -0.442	  0.425	  0.268	  9.674	 -0.733	 -1.272	 -0.003	  0.002	  0.001	 33.200	 99.118	 -99999.000
15988	 -0.443	  0.423	  0.271	  9.682	 -0.742	 -1.247	 -0.004	  0.002	  0.001	 33.200	 99.122	 -99999.000
16038	 -0.442	  0.427	  0.264	  9.680	 -0.738	 -1.269	 -0.004	  0.003	  0.000	 33.200	 99.122	 -99999.000
16088	 -0.441	  0.423	  0.266	  9.661	 -0.757	 -1.263	 -0.004	  0.003	  0.001	 33.200	 99.122	 -99999.000
16138	 -0.443	  0.431	  0.267	  9.687	 -0.744	 -1.264	 -0.004	  0.003	  0.000	 33.200	 99.111	 -99999.000
16188	 -0.443	  0.425	  0.269	  9.661	 -0.748	 -1.267	 -0.003	  0.002	  0.001	 33.200	 99.134	 -99999.000
16238	 -0.442	  0.426	  0.266	  9.671	 -0.748	 -1.255	 -0.003	  0.002	  0.001	 33.200	 99.122	 -99999.000
