Time	 MagX	 MagY	 MagZ	 AccelX	 AccelY	 AccelZ	 Yaw	 Pitch	 Roll	 Temperature	 Pressure	 Altitude
28246	  0.078	  0.184	  0.388	  0.292	 -0.227	 -9.816	 -0.008	  0.006	  0.018	 19.400	 100.019	 -99999.000
28296	  0.076	  0.184	  0.390	  0.537	 -0.206	 -9.754	 -0.011	  0.007	  0.008	 19.400	 100.035	 -99999.000
28346	  0.077	  0.192	  0.389	  0.528	 -0.110	 -9.770	 -0.011	  0.002	 -0.028	 19.400	 100.024	 -99999.000
28396	  0.076	  0.187	  0.387	  0.419	 -0.042	 -9.770	 -0.009	  0.003	  0.029	 19.400	 100.030	 -99999.000
28446	  0.076	  0.184	  0.388	  0.573	 -0.117	 -9.754	 -0.003	  0.001	  0.003	 19.400	 100.035	 -99999.000
28496	  0.076	  0.182	  0.382	  0.546	 -0.138	 -9.753	  0.003	 -0.002	 -0.012	 19.400	 100.030	 -99999.000
28546	  0.077	  0.188	  0.390	  0.318	 -0.014	 -9.761	  0.003	  0.002	  0.019	 19.400	 100.030	 -99999.000
28596	  0.078	  0.184	  0.390	  0.470	 -0.175	 -9.758	  0.007	  0.002	  0.020	 19.400	 100.030	 -99999.000
28646	  0.077	  0.185	  0.387	  0.570	 -0.396	 -9.762	  0.004	  0.002	  0.005	 19.400	 100.035	 -99999.000
28696	  0.077	  0.187	  0.389	  0.326	 -0.149	 -9.808	 -0.001	  0.003	 -0.003	 19.400	 100.024	 -99999.000
28746	  0.077	  0.184	  0.388	  0.498	 -0.294	 -9.788	 -0.004	  0.005	  0.005	 19.400	 100.030	 -99999.000
28796	  0.076	  0.186	  0.391	  0.543	 -0.326	 -9.818	 -0.011	  0.002	  0.001	 19.400	 100.030	 -99999.000
28846	  0.077	  0.187	  0.388	  0.435	 -0.180	 -9.768	 -0.012	  0.001	 -0.038	 19.400	 100.035	 -99999.000
28896	  0.076	  0.185	  0.392	  0.449	 -0.029	 -9.771	 -0.013	  0.002	  0.041	 19.400	 100.035	 -99999.000
28946	  0.077	  0.184	  0.387	  0.541	 -0.177	 -9.766	 -0.008	  0.001	  0.012	 19.400	 100.035	 -99999.000
