Time	 MagX	 MagY	 MagZ	 AccelX	 AccelY	 AccelZ	 Yaw	 Pitch	 Roll	 Temperature	 Pressure	 Altitude
15244	  0.816	  0.411	  0.784	  0.082	 -0.056	 -9.769	 -0.004	  0.002	  0.000	 32.600	 99.110	 -99999.000
15294	  0.818	  0.416	  0.781	  0.090	 -0.047	 -9.771	 -0.004	  0.003	 -0.000	 32.600	 99.094	 -99999.000
15344	  0.814	  0.422	  0.781	  0.072	 -0.042	 -9.749	 -0.003	  0.002	  0.000	 32.600	 99.106	 -99999.000
15393	  0.815	  0.415	  0.777	  0.086	 -0.034	 -9.760	 -0.003	  0.003	 -0.001	 32.600	 99.110	 -99999.000
15444	  0.816	  0.418	  0.782	  0.099	 -0.028	 -9.755	 -0.004	  0.001	 -0.000	 32.600	 99.099	 -99999.000
15494	  0.815	  0.415	  0.783	  0.100	 -0.049	 -9.720	 -0.004	  0.004	  0.000	 32.600	 99.110	 -99999.000
15544	  0.813	  0.415	  0.779	  0.090	 -0.015	 -9.810	 -0.003	  0.001	  0.001	 32.600	 99.087	 -99999.000
15594	  0.815	  0.414	  0.778	  0.102	 -0.075	 -9.767	 -0.004	  0.003	  0.002	 32.600	 99.110	 -99999.000
15644	  0.813	  0.420	  0.781	  0.076	 -0.066	 -9.790	 -0.003	  0.002	  0.000	 32.600	 99.110	 -99999.000
15694	  0.814	  0.413	  0.782	  0.082	 -0.039	 -9.786	 -0.004	  0.002	  0.000	 32.600	 99.099	 -99999.000
15744	  0.815	  0.416	  0.780	  0.095	 -0.016	 -9.766	 -0.004	  0.002	 -0.000	 32.600	 99.110	 -99999.000
15794	  0.817	  0.413	  0.782	  0.099	 -0.046	 -9.755	 -0.004	  0.004	 -0.000	 32.600	 99.110	 -99999.000
15844	  0.814	  0.415	  0.779	  0.123	 -0.054	 -9.752	 -0.004	  0.004	  0.001	 32.600	 99.099	 -99999.000
15894	  0.816	  0.414	  0.784	  0.099	 -0.051	 -9.767	 -0.003	  0.003	  0.001	 32.600	 99.099	 -99999.000
15944	  0.815	  0.415	  0.785	  0.111	 -0.041	 -9.741	 -0.003	  0.004	  0.001	 32.600	 99.110	 -99999.000
15994	  0.816	  0.415	  0.779	  0.082	 -0.051	 -9.753	 -0.003	  0.002	  0.000	 32.600	 99.110	 -99999.000
16044	  0.815	  0.413	  0.779	  0.076	 -0.012	 -9.799	 -0.003	  0.003	 -0.000	 32.600	 99.103	 -99999.000
16094	  0.814	  0.418	  0.785	  0.083	 -0.038	 -9.729	 -0.003	  0.003	 -0.000	 32.600	 99.099	 -99999.000
16144	  0.814	  0.418	  0.780	  0.080	 -0.046	 -9.751	 -0.002	  0.004	 -0.000	 32.600	 99.099	 -99999.000
16194	  0.814	  0.422	  0.785	  0.103	 -0.033	 -9.778	 -0.005	  0.002	 -0.001	 32.600	 99.106	 -99999.000
16244	  0.814	  0.415	  0.785	  0.099	 -0.048	 -9.748	 -0.004	  0.003	  0.000	 32.600	 99.099	 -99999.000
16294	  0.812	  0.415	  0.781	  0.095	 -0.043	 -9.752	 -0.002	  0.003	 -0.000	 32.600	 99.099	 -99999.000
16344	  0.814	  0.414	  0.780	  0.089	 -0.028	 -9.795	 -0.004	  0.003	  0.001	 32.600	 99.110	 -99999.000
16394	  0.815	  0.413	  0.776	  0.102	 -0.058	 -9.766	 -0.003	  0.004	  0.000	 32.600	 99.099	 -99999.000
16444	  0.816	  0.420	  0.784	  0.090	 -0.013	 -9.763	 -0.004	  0.002	  0.001	 32.600	 99.099	 -99999.000
16494	  0.814	  0.419	  0.783	  0.087	 -0.030	 -9.772	 -0.004	  0.003	 -0.001	 32.600	 99.099	 -99999.000
16543	  0.813	  0.416	  0.783	  0.090	 -0.044	 -9.747	 -0.002	  0.003	 -0.001	 32.600	 99.110	 -99999.000
16593	  0.816	  0.417	  0.784	  0.094	 -0.045	 -9.784	 -0.003	  0.003	 -0.000	 32.600	 99.110	 -99999.000
16643	  0.816	  0.418	  0.782	  0.114	 -0.046	 -9.765	 -0.003	  0.004	  0.000	 32.600	 99.106	 -99999.000
16693	  0.814	  0.415	  0.782	  0.091	 -0.031	 -9.748	 -0.002	  0.004	  0.000	 32.600	 99.094	 -99999.000
16743	  0.813	  0.415	  0.782	  0.120	 -0.037	 -9.750	 -0.004	  0.004	 -0.000	 32.600	 99.099	 -99999.000
16793	  0.813	  0.414	  0.775	  0.075	 -0.029	 -9.782	 -0.002	  0.002	  0.000	 32.600	 99.110	 -99999.000
16843	  0.816	  0.415	  0.776	  0.086	 -0.036	 -9.762	 -0.002	  0.001	  0.001	 32.600	 99.099	 -99999.000
16893	  0.815	  0.413	  0.783	  0.101	 -0.050	 -9.778	 -0.003	  0.003	 -0.000	 32.600	 99.110	 -99999.000
16943	  0.812	  0.413	  0.783	  0.103	 -0.043	 -9.773	 -0.004	  0.002	  0.001	 32.600	 99.099	 -99999.000
16993	  0.817	  0.418	  0.783	  0.097	 -0.063	 -9.740	 -0.003	  0.002	  0.002	 32.600	 99.099	 -99999.000
17043	  0.814	  0.412	  0.778	  0.100	 -0.042	 -9.772	 -0.002	  0.004	 -0.001	 32.600	 99.087	 -99999.000
17093	  0.812	  0.416	  0.781	  0.082	 -0.041	 -9.743	 -0.004	  0.004	  0.000	 32.600	 99.099	 -99999.000
17143	  0.814	  0.414	  0.783	  0.099	 -0.055	 -9.734	 -0.003	  0.003	  0.001	 32.600	 99.110	 -99999.000
17193	  0.815	  0.415	  0.783	  0.098	 -0.032	 -9.754	 -0.003	  0.002	 -0.001	 32.600	 99.099	 -99999.000
17243	  0.816	  0.415	  0.782	  0.092	 -0.035	 -9.728	 -0.005	  0.002	 -0.001	 32.600	 99.099	 -99999.000
17293	  0.812	  0.413	  0.779	  0.085	 -0.039	 -9.748	 -0.004	  0.003	 -0.001	 32.600	 99.099	 -99999.000
17343	  0.815	  0.413	  0.775	  0.089	 -0.030	 -9.742	 -0.002	  0.002	  0.000	 32.600	 99.099	 -99999.000
17393	  0.813	  0.413	  0.779	  0.098	 -0.021	 -9.783	 -0.004	  0.001	  0.000	 32.600	 99.099	 -99999.000
17443	  0.813	  0.413	  0.783	  0.099	 -0.038	 -9.730	 -0.002	  0.003	  0.001	 32.600	 99.099	 -99999.000
17493	  0.814	  0.418	  0.783	  0.091	 -0.033	 -9.765	 -0.003	  0.002	  0.001	 32.600	 99.110	 -99999.000
17543	  0.813	  0.415	  0.779	  0.099	 -0.030	 -9.792	 -0.003	  0.003	 -0.000	 32.600	 99.110	 -99999.000
17593	  0.815	  0.413	  0.782	  0.103	 -0.037	 -9.749	 -0.004	  0.004	 -0.000	 32.600	 99.099	 -99999.000
