Time	 MagX	 MagY	 MagZ	 AccelX	 AccelY	 AccelZ	 Yaw	 Pitch	 Roll	 Temperature	 Pressure	 Altitude
15327	 -0.116	  0.078	  0.286	 -0.289	 -0.200	 -9.797	  0.001	 -0.001	  0.005	  9.300	 99.137	 -99999.000
15378	 -0.116	  0.078	  0.281	 -0.315	 -0.347	 -9.781	 -0.005	  0.000	  0.005	  9.300	 99.137	 -99999.000
15428	 -0.116	  0.078	  0.283	 -0.227	 -0.229	 -9.795	 -0.004	  0.004	  0.004	  9.300	 99.137	 -99999.000
15478	 -0.115	  0.078	  0.283	 -0.204	 -0.222	 -9.786	  0.000	  0.001	  0.004	  9.300	 99.148	 -99999.000
15528	 -0.116	  0.078	  0.285	 -0.277	 -0.293	 -9.813	 -0.004	 -0.000	  0.003	  9.300	 99.132	 -99999.000
15578	 -0.116	  0.079	  0.284	 -0.267	 -0.269	 -9.791	 -0.001	  0.001	  0.004	  9.300	 99.137	 -99999.000
15628	 -0.116	  0.078	  0.282	 -0.207	 -0.206	 -9.788	 -0.002	  0.001	  0.005	  9.300	 99.126	 -99999.000
15678	 -0.117	  0.079	  0.283	 -0.215	 -0.185	 -9.769	 -0.002	  0.000	  0.004	  9.300	 99.137	 -99999.000
15728	 -0.114	  0.078	  0.284	 -0.258	 -0.272	 -9.797	 -0.005	  0.002	  0.004	  9.300	 99.137	 -99999.000
15778	 -0.112	  0.078	  0.282	 -0.244	 -0.241	 -9.785	 -0.003	  0.001	  0.004	  9.300	 99.137	 -99999.000
15828	 -0.113	  0.082	  0.283	 -0.238	 -0.244	 -9.762	 -0.003	  0.003	  0.004	  9.300	 99.126	 -99999.000
15878	 -0.114	  0.084	  0.285	 -0.240	 -0.245	 -9.781	 -0.004	 -0.001	  0.004	  9.300	 99.148	 -99999.000
15928	 -0.114	  0.082	  0.284	 -0.235	 -0.249	 -9.802	 -0.000	  0.002	  0.005	  9.300	 99.137	 -99999.000
15978	 -0.116	  0.078	  0.287	 -0.211	 -0.263	 -9.772	 -0.003	  0.003	  0.004	  9.300	 99.122	 -99999.000
16028	 -0.113	  0.080	  0.280	 -0.214	 -0.198	 -9.775	 -0.003	  0.001	  0.004	  9.300	 99.137	 -99999.000
16078	 -0.115	  0.078	  0.284	 -0.245	 -0.286	 -9.794	 -0.004	  0.001	  0.004	  9.300	 99.137	 -99999.000
16128	 -0.113	  0.080	  0.287	 -0.277	 -0.287	 -9.815	 -0.002	  0.002	  0.004	  9.300	 99.137	 -99999.000
16178	 -0.114	  0.078	  0.281	 -0.254	 -0.193	 -9.793	 -0.002	  0.002	  0.005	  9.300	 99.126	 -99999.000
16228	 -0.112	  0.080	  0.283	 -0.229	 -0.265	 -9.761	 -0.002	  0.000	  0.006	  9.300	 99.137	 -99999.000
16278	 -0.114	  0.079	  0.287	 -0.257	 -0.217	 -9.761	 -0.002	  0.000	  0.005	  9.300	 99.126	 -99999.000
16328	 -0.112	  0.083	  0.287	 -0.241	 -0.247	 -9.757	 -0.002	  0.002	  0.005	  9.300	 99.132	 -99999.000
16378	 -0.112	  0.079	  0.281	 -0.234	 -0.222	 -9.806	 -0.004	  0.002	  0.004	  9.300	 99.137	 -99999.000
16428	 -0.112	  0.077	  0.288	 -0.270	 -0.355	 -9.819	 -0.005	  0.002	  0.004	  9.300	 99.137	 -99999.000
16478	 -0.113	  0.079	  0.284	 -0.252	 -0.167	 -9.784	 -0.003	  0.002	  0.004	  9.300	 99.137	 -99999.000
