Time	 MagX	 MagY	 MagZ	 AccelX	 AccelY	 AccelZ	 Yaw	 Pitch	 Roll	 Temperature	 Pressure	 Altitude
28265	  0.689	 -0.167	  0.402	  0.201	  0.050	 -9.780	 -0.003	  0.001	  0.001	 32.000	 99.075	 -99999.000
28314	  0.689	 -0.165	  0.398	  0.198	  0.084	 -9.765	 -0.002	  0.002	 -0.001	 32.000	 99.075	 -99999.000
28364	  0.689	 -0.165	  0.394	  0.211	  0.101	 -9.750	 -0.002	  0.002	  0.000	 32.000	 99.086	 -99999.000
28414	  0.692	 -0.161	  0.396	  0.182	  0.086	 -9.731	 -0.004	  0.004	  0.000	 32.000	 99.086	 -99999.000
28464	  0.691	 -0.163	  0.396	  0.182	  0.090	 -9.758	 -0.003	  0.002	  0.001	 32.000	 99.086	 -99999.000
28514	  0.692	 -0.161	  0.395	  0.201	  0.079	 -9.799	 -0.004	  0.003	  0.001	 32.000	 99.075	 -99999.000
28564	  0.691	 -0.166	  0.394	  0.211	  0.066	 -9.753	 -0.003	  0.003	  0.001	 32.000	 99.086	 -99999.000
28614	  0.690	 -0.164	  0.396	  0.195	  0.072	 -9.760	 -0.003	  0.003	  0.000	 32.100	 99.090	 -99999.000
28665	  0.694	 -0.167	  0.397	  0.202	  0.073	 -9.767	 -0.003	  0.002	  0.001	 32.000	 99.086	 -99999.000
28714	  0.691	 -0.160	  0.398	  0.217	  0.084	 -9.759	 -0.004	  0.004	  0.001	 32.000	 99.075	 -99999.000
28765	  0.691	 -0.164	  0.398	  0.209	  0.078	 -9.761	 -0.003	  0.003	  0.000	 32.100	 99.090	 -99999.000
28814	  0.689	 -0.167	  0.395	  0.221	  0.081	 -9.727	 -0.002	  0.002	 -0.000	 32.000	 99.075	 -99999.000
28865	  0.690	 -0.164	  0.396	  0.216	  0.097	 -9.756	 -0.004	  0.002	  0.001	 32.000	 99.086	 -99999.000
28915	  0.691	 -0.163	  0.394	  0.191	  0.067	 -9.780	 -0.003	  0.003	  0.000	 32.100	 99.090	 -99999.000
28965	  0.691	 -0.165	  0.399	  0.193	  0.065	 -9.747	 -0.003	  0.003	  0.001	 32.000	 99.090	 -99999.000
29014	  0.691	 -0.164	  0.394	  0.208	  0.093	 -9.757	 -0.004	  0.003	 -0.000	 32.000	 99.086	 -99999.000
29065	  0.694	 -0.167	  0.393	  0.191	  0.079	 -9.746	 -0.002	  0.003	  0.001	 32.000	 99.086	 -99999.000
29115	  0.690	 -0.163	  0.398	  0.225	  0.088	 -9.770	 -0.004	  0.003	  0.001	 32.000	 99.075	 -99999.000
29165	  0.692	 -0.165	  0.395	  0.187	  0.081	 -9.732	 -0.003	  0.002	 -0.001	 32.000	 99.086	 -99999.000
29215	  0.692	 -0.165	  0.398	  0.223	  0.067	 -9.755	 -0.002	  0.003	 -0.000	 32.100	 99.079	 -99999.000
29265	  0.690	 -0.163	  0.398	  0.234	  0.087	 -9.725	 -0.002	  0.002	  0.002	 32.100	 99.086	 -99999.000
29315	  0.689	 -0.166	  0.395	  0.191	  0.086	 -9.774	 -0.003	  0.002	  0.001	 32.000	 99.086	 -99999.000
29365	  0.691	 -0.167	  0.396	  0.185	  0.059	 -9.749	 -0.004	  0.003	 -0.001	 32.100	 99.097	 -99999.000
29415	  0.692	 -0.164	  0.394	  0.201	  0.078	 -9.755	 -0.004	  0.002	  0.000	 32.100	 99.090	 -99999.000
29465	  0.692	 -0.164	  0.394	  0.220	  0.094	 -9.744	 -0.005	  0.003	  0.000	 32.000	 99.086	 -99999.000
29515	  0.689	 -0.165	  0.399	  0.191	  0.083	 -9.736	 -0.004	  0.003	 -0.002	 32.000	 99.075	 -99999.000
29565	  0.692	 -0.168	  0.394	  0.211	  0.075	 -9.762	 -0.004	  0.003	  0.000	 32.100	 99.086	 -99999.000
29615	  0.690	 -0.166	  0.398	  0.201	  0.067	 -9.782	 -0.004	  0.002	  0.001	 32.100	 99.090	 -99999.000
29665	  0.689	 -0.163	  0.396	  0.211	  0.092	 -9.768	 -0.004	  0.002	  0.001	 32.000	 99.086	 -99999.000
29715	  0.692	 -0.158	  0.395	  0.173	  0.084	 -9.754	 -0.003	  0.003	  0.000	 32.000	 99.086	 -99999.000
