Time	 MagX	 MagY	 MagZ	 AccelX	 AccelY	 AccelZ	 Yaw	 Pitch	 Roll	 Temperature	 Pressure	 Altitude
5267	  0.375	 -0.377	  0.387	  0.061	  0.040	 -9.753	 -0.005	  0.002	 -0.001	 33.100	 99.120	 -99999.000
5314	  0.373	 -0.389	  0.386	  0.041	  0.057	 -9.760	 -0.003	  0.003	  0.001	 33.100	 99.124	 -99999.000
5363	  0.377	 -0.387	  0.387	  0.053	  0.066	 -9.771	 -0.003	  0.002	  0.001	 33.100	 99.109	 -99999.000
5413	  0.377	 -0.383	  0.389	  0.046	  0.069	 -9.738	 -0.003	  0.002	  0.000	 33.100	 99.120	 -99999.000
5463	  0.375	 -0.393	  0.390	  0.055	  0.064	 -9.799	 -0.004	  0.002	 -0.001	 33.100	 99.109	 -99999.000
5513	  0.375	 -0.389	  0.385	  0.041	  0.068	 -9.748	 -0.003	  0.003	 -0.000	 33.100	 99.124	 -99999.000
5563	  0.375	 -0.387	  0.390	  0.059	  0.062	 -9.760	 -0.004	  0.003	  0.001	 33.100	 99.109	 -99999.000
5613	  0.377	 -0.388	  0.388	  0.066	  0.057	 -9.767	 -0.004	  0.002	 -0.000	 33.100	 99.120	 -99999.000
5663	  0.377	 -0.387	  0.386	  0.032	  0.053	 -9.784	 -0.004	  0.002	  0.001	 33.100	 99.120	 -99999.000
5713	  0.377	 -0.383	  0.390	  0.041	  0.086	 -9.760	 -0.003	  0.003	  0.000	 33.100	 99.109	 -99999.000
5763	  0.375	 -0.388	  0.387	  0.039	  0.036	 -9.767	 -0.004	  0.003	  0.001	 33.100	 99.120	 -99999.000
5813	  0.375	 -0.389	  0.384	  0.055	  0.066	 -9.757	 -0.003	  0.002	  0.001	 33.100	 99.109	 -99999.000
5863	  0.377	 -0.387	  0.388	  0.067	  0.069	 -9.719	 -0.004	  0.003	  0.002	 33.100	 99.120	 -99999.000
5912	  0.377	 -0.389	  0.389	  0.048	  0.067	 -9.791	 -0.004	  0.002	  0.001	 33.100	 99.098	 -99999.000
5963	  0.377	 -0.387	  0.390	  0.026	  0.046	 -9.741	 -0.002	  0.003	  0.000	 33.100	 99.113	 -99999.000
6012	  0.376	 -0.379	  0.387	  0.057	  0.052	 -9.781	 -0.004	  0.002	 -0.000	 33.100	 99.109	 -99999.000
6062	  0.377	 -0.387	  0.386	  0.042	  0.035	 -9.731	 -0.005	  0.002	  0.001	 33.100	 99.120	 -99999.000
6112	  0.377	 -0.390	  0.390	  0.036	  0.057	 -9.738	 -0.003	  0.003	  0.000	 33.100	 99.120	 -99999.000
6163	  0.377	 -0.389	  0.386	  0.067	  0.064	 -9.800	 -0.003	  0.001	  0.001	 33.100	 99.124	 -99999.000
6212	  0.375	 -0.388	  0.385	  0.042	  0.068	 -9.745	 -0.004	  0.002	 -0.000	 33.100	 99.120	 -99999.000
6262	  0.379	 -0.389	  0.390	  0.046	  0.061	 -9.748	 -0.003	  0.002	  0.001	 33.100	 99.120	 -99999.000
6314	  0.375	 -0.385	  0.382	  0.067	  0.047	 -9.779	 -0.003	  0.002	  0.000	 33.100	 99.109	 -99999.000
6363	  0.375	 -0.390	  0.389	  0.036	  0.084	 -9.779	 -0.004	  0.002	  0.001	 33.100	 99.116	 -99999.000
6414	  0.377	 -0.381	  0.386	  0.047	  0.053	 -9.740	 -0.003	  0.002	  0.001	 33.100	 99.120	 -99999.000
6463	  0.376	 -0.382	  0.387	  0.054	  0.069	 -9.812	 -0.005	  0.004	  0.000	 33.100	 99.113	 -99999.000
6513	  0.375	 -0.388	  0.387	  0.062	  0.055	 -9.753	 -0.004	  0.003	  0.001	 33.100	 99.120	 -99999.000
6563	  0.375	 -0.390	  0.386	  0.033	  0.049	 -9.779	 -0.004	  0.003	  0.001	 33.100	 99.109	 -99999.000
6613	  0.376	 -0.391	  0.385	  0.052	  0.054	 -9.730	 -0.003	  0.003	  0.001	 33.100	 99.120	 -99999.000
6664	  0.375	 -0.387	  0.385	  0.068	  0.103	 -9.758	 -0.002	  0.002	 -0.000	 33.100	 99.132	 -99999.000
6714	  0.375	 -0.387	  0.390	  0.044	  0.065	 -9.761	 -0.004	  0.003	  0.000	 33.100	 99.113	 -99999.000
6764	  0.375	 -0.384	  0.386	  0.033	  0.072	 -9.760	 -0.003	  0.003	  0.001	 33.100	 99.109	 -99999.000
6814	  0.376	 -0.392	  0.389	  0.046	  0.060	 -9.747	 -0.005	  0.003	  0.001	 33.100	 99.120	 -99999.000
6864	  0.375	 -0.383	  0.383	  0.047	  0.053	 -9.766	 -0.004	  0.002	  0.001	 33.100	 99.109	 -99999.000
6914	  0.378	 -0.378	  0.387	  0.028	  0.075	 -9.736	 -0.005	  0.003	 -0.000	 33.100	 99.120	 -99999.000
