Time	 MagX	 MagY	 MagZ	 AccelX	 AccelY	 AccelZ	 Yaw	 Pitch	 Roll	 Temperature	 Pressure	 Altitude
43688	  0.176	 -0.057	  0.339	  0.189	 -1.315	 -10.311	  0.009	 -0.086	  1.333	 35.200	 98.833	 -99999.000
43737	  0.195	 -0.067	  0.328	 -0.309	 -0.328	 -9.782	  0.032	  0.012	  1.585	 35.200	 98.806	 -99999.000
43787	  0.208	 -0.083	  0.319	  0.270	 -1.605	 -10.133	  0.080	 -0.015	  1.987	 35.200	 98.818	 -99999.000
43837	  0.203	 -0.106	  0.305	  0.128	 -1.275	 -9.543	  0.185	  0.204	  1.867	 35.200	 98.818	 -99999.000
43887	  0.191	 -0.119	  0.303	  0.452	 -1.342	 -9.247	  0.513	  0.295	  1.831	 35.200	 98.818	 -99999.000
43937	  0.176	 -0.131	  0.296	  0.362	 -1.141	 -9.207	  0.313	  0.167	  1.627	 35.200	 98.806	 -99999.000
43987	  0.161	 -0.133	  0.294	  0.275	 -1.098	 -9.292	  0.296	  0.090	  1.712	 35.200	 98.818	 -99999.000
44037	  0.148	 -0.153	  0.295	  0.394	 -1.822	 -9.755	  0.226	  0.112	  1.446	 35.200	 98.833	 -99999.000
44087	  0.130	 -0.163	  0.293	  0.276	 -1.469	 -9.670	  0.288	  0.182	  1.440	 35.200	 98.818	 -99999.000
44137	  0.120	 -0.169	  0.292	  0.423	 -2.136	 -10.217	  0.262	  0.099	  1.447	 35.200	 98.818	 -99999.000
44187	  0.101	 -0.175	  0.297	  0.033	 -2.167	 -10.554	  0.345	  0.112	  1.396	 35.200	 98.818	 -99999.000
44237	  0.088	 -0.173	  0.300	 -0.035	 -3.115	 -10.893	  0.391	  0.335	  1.362	 35.200	 98.829	 -99999.000
44287	  0.066	 -0.173	  0.303	 -0.246	 -2.578	 -10.225	  0.077	  0.591	  1.158	 35.200	 98.829	 -99999.000
44337	  0.045	 -0.176	  0.301	  0.175	 -2.125	 -9.514	  0.142	  0.507	  1.056	 35.200	 98.818	 -99999.000
44387	  0.031	 -0.166	  0.304	  0.065	 -1.198	 -8.907	 -0.087	  0.492	  0.631	 35.200	 98.806	 -99999.000
44437	  0.014	 -0.171	  0.307	 -0.284	 -0.018	 -8.327	 -0.079	  0.467	  0.567	 35.200	 98.822	 -99999.000
44487	  0.002	 -0.164	  0.301	  0.137	  0.161	 -8.558	  0.032	  0.446	  0.630	 35.200	 98.806	 -99999.000
44537	 -0.016	 -0.160	  0.300	  0.749	 -0.566	 -9.190	  0.254	  0.425	  0.477	 35.200	 98.829	 -99999.000
44587	 -0.022	 -0.138	  0.301	  1.384	 -1.294	 -10.037	  0.200	  0.189	  0.038	 35.200	 98.818	 -99999.000
