Time	 MagX	 MagY	 MagZ	 AccelX	 AccelY	 AccelZ	 Yaw	 Pitch	 Roll	 Temperature	 Pressure	 Altitude
15331	  0.059	 -0.161	  0.333	  0.158	 -0.094	 -9.633	 -0.002	  0.002	  0.005	 27.000	 99.285	 -99999.000
15381	  0.061	 -0.159	  0.330	  0.131	 -0.058	 -9.624	 -0.003	  0.002	  0.003	 27.000	 99.285	 -99999.000
15431	  0.061	 -0.159	  0.331	  0.161	 -0.009	 -9.691	 -0.004	  0.003	  0.006	 27.000	 99.274	 -99999.000
15481	  0.059	 -0.151	  0.325	  0.172	 -0.055	 -9.672	 -0.004	  0.002	  0.005	 27.000	 99.285	 -99999.000
15531	  0.059	 -0.159	  0.329	  0.158	 -0.035	 -9.627	 -0.004	  0.003	  0.003	 27.000	 99.285	 -99999.000
15581	  0.058	 -0.161	  0.330	  0.170	 -0.002	 -9.691	 -0.002	  0.002	  0.006	 27.000	 99.285	 -99999.000
15631	  0.059	 -0.153	  0.333	  0.157	 -0.052	 -9.639	 -0.004	  0.003	  0.004	 27.000	 99.279	 -99999.000
15681	  0.059	 -0.158	  0.329	  0.162	 -0.023	 -9.672	 -0.003	  0.004	  0.004	 27.000	 99.285	 -99999.000
15731	  0.059	 -0.163	  0.327	  0.158	 -0.013	 -9.670	 -0.002	  0.003	  0.004	 27.000	 99.297	 -99999.000
15781	  0.059	 -0.160	  0.326	  0.167	 -0.044	 -9.599	 -0.003	  0.002	  0.003	 27.000	 99.279	 -99999.000
15831	  0.056	 -0.152	  0.328	  0.163	 -0.017	 -9.654	 -0.004	  0.003	  0.005	 27.000	 99.285	 -99999.000
15881	  0.058	 -0.163	  0.332	  0.164	 -0.042	 -9.608	 -0.003	  0.002	  0.005	 27.000	 99.290	 -99999.000
15931	  0.059	 -0.162	  0.325	  0.185	 -0.006	 -9.705	 -0.003	  0.002	  0.004	 27.000	 99.285	 -99999.000
15981	  0.061	 -0.152	  0.329	  0.181	 -0.003	 -9.615	 -0.004	  0.001	  0.005	 27.000	 99.285	 -99999.000
16031	  0.058	 -0.161	  0.333	  0.181	 -0.053	 -9.662	 -0.004	  0.001	  0.005	 27.000	 99.301	 -99999.000
16081	  0.059	 -0.151	  0.331	  0.204	 -0.039	 -9.627	 -0.003	  0.003	  0.004	 27.000	 99.290	 -99999.000
